"location_id","location_type__001","location_type__002","location_type__003","open_soon","latitude","longitude"
"dc11104","destination charger","","","0","37.4608550000","121.4736760000"
"dc11117","destination charger","","","0","26.9259970000","100.2062880000"
"dc11100","destination charger","","","0","31.2213600000","120.4569090000"
"dc11116","destination charger","","","0","27.2972730000","105.3043310000"
"dc11118","destination charger","","","0","30.8744970000","104.3917830000"
"dc11103","destination charger","","","0","37.8983850000","112.5970960000"
"dc11097","destination charger","","","0","31.1844860000","121.6995700000"
"dc11113","destination charger","","","0","28.6542890000","115.9213150000"
"dc11099","destination charger","","","0","31.2133120000","120.4116760000"
"dc11108","destination charger","","","0","39.9713920000","116.4478370000"
"dc11111","destination charger","","","0","22.0992540000","113.5472520000"
"dc11106","destination charger","","","0","33.0228750000","112.5469800000"
"dc11112","destination charger","","","0","23.1468710000","113.3621210000"
"dc11114","destination charger","","","0","29.3234550000","107.7575900000"
"cepranosupercharger","supercharger","standard charger","","0","41.5442260000","13.5119580000"
"dc12801","destination charger","standard charger","","0","-37.8148440000","144.9696850000"
"dc17304","destination charger","standard charger","","0","-31.8373010000","116.0165330000"
"dc17312","destination charger","standard charger","","0","-36.7112070000","142.2030150000"
"dc18917","destination charger","standard charger","","0","-32.8918210000","151.7444690000"
"dc14396","destination charger","standard charger","","0","-27.9913080000","153.4276500000"
"dc18705","destination charger","standard charger","","0","-36.9937150000","147.1530010000"
"dc17350","destination charger","standard charger","","0","-34.9809800000","138.5113970000"
"tempearizona","service","","","0","33.4216790000","-111.8973250000"
"eurekasupercharger","supercharger","standard charger","","0","40.7788850000","-124.1883830000"
"oakdalesupercharger","supercharger","standard charger","","0","44.9648920000","-92.9612490000"
"dc4845","destination charger","","","0","35.6697088000","139.7678508000"
"dc5992","destination charger","","","0","35.1089984000","134.6773194000"
"dc6277","destination charger","","","0","34.6901817000","135.4876718000"
"dc2187","destination charger","","","0","35.6284560000","134.7994940000"
"dc2114","destination charger","","","0","36.2352578000","137.9716303000"
"dc2097","destination charger","","","0","35.6683920000","139.7466830000"
"dc2099","destination charger","","","0","35.6221990000","139.7370240000"
"dc2192","destination charger","","","0","38.2564860000","140.8761750000"
"dc2095","destination charger","","","0","35.6825750000","139.7694180000"
"dc2096","destination charger","","","0","35.6646640000","139.7432640000"
"dc2235","destination charger","","","0","34.3055250000","134.0595810000"
"dc2751","destination charger","","","0","35.6271210000","139.4192680000"
"dc5023","destination charger","","","0","36.3439497000","138.6184860000"
"dc5093","destination charger","","","0","35.9399040000","140.2674550000"
"dc6211","destination charger","","","0","35.6271930000","139.8743270000"
"dc12370","destination charger","","","0","36.6986790000","137.8432970000"
"dc13838","destination charger","","","0","35.2483990000","139.0485090000"
"porthuronsupercharger","supercharger","standard charger","","0","42.9988170000","-82.4289350000"
"ciscotexassupercharger","supercharger","standard charger","","0","32.3742630000","-99.0071970000"
"sweetwatersupercharger","supercharger","standard charger","","0","32.4505910000","-100.3924550000"
"lincolncityoregonsupercharger","supercharger","standard charger","","0","44.9577510000","-124.0109660000"
"dc792","destination charger","","","0","42.8625170000","-106.3339370000"
"dc18740","destination charger","","","0","21.1579220000","-101.7023440000"
"dc18119","destination charger","","","0","44.8669100000","-87.3707660000"
"dc18535","destination charger","","","0","25.6517560000","-100.3325040000"
"dc13520","destination charger","","","0","38.4076420000","-75.0580720000"
