"location_id","location_type__001","location_type__002","location_type__003","open_soon","latitude","longitude"
"dc28012","destination charger","","","0","32.7655410000","-117.2404600000"
"dc25828","destination charger","","","0","35.5724260000","-121.1119510000"
"dc23347","destination charger","","","0","38.5025820000","-122.4649300000"
"dc24331","destination charger","","","0","38.3638120000","-122.7155020000"
"dc29597","destination charger","","","0","37.1342930000","-121.6315010000"
"dc18850","destination charger","","","0","37.9734670000","-120.2384990000"
"dc25911","destination charger","","","0","38.4958940000","-122.7663310000"
"dc25475","destination charger","","","0","38.7420540000","-122.9550130000"
"dc25825","destination charger","","","0","39.3292840000","-120.1842780000"
"dc30889","destination charger","","","0","45.5083840000","-122.6646430000"
"dc18847","destination charger","","","0","47.6122130000","-122.1980390000"
"dc25418","destination charger","","","0","47.1033500000","-119.2510360000"
"dc29663","destination charger","","","0","44.7563850000","-78.3481530000"
"dc30266","destination charger","","","0","43.8538520000","-79.3350030000"
"dc30207","destination charger","","","0","43.6491350000","-79.3862370000"
"dc13214","destination charger","","","0","51.1151860000","-115.7632760000"
"dc23988","destination charger","","","0","52.1139490000","-119.3056920000"
"dc28226","destination charger","","","0","49.5771010000","-119.5832630000"
"dc21236","destination charger","","","0","49.1857120000","-119.5491240000"
"dc25217","destination charger","","","0","48.9720230000","-123.5577000000"
"dc25690","destination charger","","","0","50.3150510000","-122.7927950000"
